[2024-03-13 15:47:34,958 ] root - INFO - Starting model training process
[2024-03-13 15:47:35,186 ] root - INFO - Starting model training process
[2024-03-13 15:47:45,640 ] root - INFO - Starting model training process
[2024-03-13 15:47:45,803 ] root - INFO - Starting model training process
[2024-03-13 15:48:51,407 ] root - INFO - Starting model training process
[2024-03-13 15:48:51,575 ] root - INFO - Starting model training process
[2024-03-13 15:49:02,342 ] root - INFO - Starting data ingestion process
[2024-03-13 15:49:02,342 ] root - INFO - Downloading data from https://drive.google.com/file/d/1OT8qzsV-aiMxdEEgIkjQRm1HUR6cI0Zu/view?usp=sharing into file artifacts\data_ingestion\data.zip
[2024-03-13 15:49:21,398 ] root - INFO - Downloaded data from https://drive.google.com/file/d/1OT8qzsV-aiMxdEEgIkjQRm1HUR6cI0Zu/view?usp=sharing into file artifacts\data_ingestion\data.zip
[2024-03-13 15:49:29,020 ] root - INFO - Conversion  of COCO to YOLO format
[2024-03-13 15:49:38,907 ] root - INFO - Writing data.yaml file
[2024-03-13 15:49:38,907 ] root - INFO - successfully converted COCO to YOLO format
[2024-03-13 15:49:38,907 ] root - INFO - Extracted data from artifacts\data_ingestion\data.zip into directory artifacts\data_ingestion\feature_store
[2024-03-13 15:49:38,908 ] root - INFO - Data ingestion process completed successfully
[2024-03-13 15:49:38,908 ] root - INFO - Data ingestion process completed
[2024-03-13 15:49:38,908 ] root - INFO - Data ingestion artifacts: DataIngestionArtifacts(data_zip_file_path='artifacts\\data_ingestion\\data.zip', feature_store_path='artifacts\\data_ingestion\\feature_store')
[2024-03-13 15:49:38,908 ] root - INFO - Data ingestion process completed
[2024-03-13 15:49:38,908 ] root - INFO - Data ingestion artifacts: DataIngestionArtifacts(data_zip_file_path='artifacts\\data_ingestion\\data.zip', feature_store_path='artifacts\\data_ingestion\\feature_store')
[2024-03-13 15:49:38,908 ] root - INFO - Starting data validation process
[2024-03-13 15:49:38,908 ] root - INFO - Initiating Data Validation
[2024-03-13 15:49:38,909 ] root - INFO - Data Validation Completed
[2024-03-13 15:49:38,909 ] root - INFO - Data Validation Status: True
[2024-03-13 15:49:39,182 ] root - INFO - Data validation process completed
[2024-03-13 15:49:39,182 ] root - INFO - Data validation artifacts: DataValidationArtifacts(validation_status=True)
[2024-03-13 15:49:39,182 ] root - INFO - Data validation process completed
[2024-03-13 15:49:39,182 ] root - INFO - Data validation artifacts: DataValidationArtifacts(validation_status=True)
[2024-03-13 15:49:39,182 ] root - INFO - Starting model training process
[2024-03-13 15:49:39,341 ] root - INFO - Starting model training process
